condition,replicate,major_category,label,category_n,feature,observed,expected,lift,z_score,empirical_p
interface_broad,0,その他,Other,19084,actions,2114,2043.16,1.03467,2.6265,0.01397
interface_broad,0,その他,Other,19084,strict_boundary_interface,7861,8276.644,0.94978,-8.9197,0.002
interface_broad,0,キツネ,Kitsune,3618,hydrology,447,777.896,0.57463,-14.8859,0.002
interface_broad,0,キツネ,Kitsune,3618,mobility,759,585.572,1.29617,8.2212,0.002
interface_broad,0,キツネ,Kitsune,3618,boundary,375,679.006,0.55228,-14.1962,0.002
interface_broad,0,キツネ,Kitsune,3618,livelihood,865,701.852,1.23245,7.3746,0.002
interface_broad,0,キツネ,Kitsune,3618,dwelling,871,911.546,0.95552,-1.729,0.05589
interface_broad,0,キツネ,Kitsune,3618,death_ritual,193,516.028,0.37401,-17.1699,0.002
interface_broad,0,キツネ,Kitsune,3618,taboo_time_weather,717,752.076,0.95336,-1.4936,0.07385
interface_broad,0,キツネ,Kitsune,3618,actors,878,966.81,0.90814,-3.5343,0.00399
interface_broad,0,キツネ,Kitsune,3618,actions,310,427.176,0.7257,-6.545,0.002
interface_broad,0,キツネ,Kitsune,3618,strict_boundary_interface,1338,1533.056,0.87277,-6.9375,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,hydrology,1090,488.346,2.23202,32.0974,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,mobility,359,383.95,0.93502,-1.4525,0.08583
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,boundary,551,446.788,1.23325,5.7828,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,livelihood,450,446.704,1.00738,0.1778,0.43912
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,dwelling,548,573.586,0.95539,-1.2763,0.1018
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,death_ritual,219,334.638,0.65444,-7.3029,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,taboo_time_weather,609,503.014,1.2107,5.4966,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,actors,949,638.166,1.48707,15.1005,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,actions,158,244.206,0.64699,-6.401,0.002
interface_broad,0,ヘビ・リュウ,Snake/Dragon,2335,strict_boundary_interface,1428,1004.168,1.42207,18.6747,0.002
interface_broad,0,ユウレイ,Yurei,1641,hydrology,185,336.074,0.55047,-9.9842,0.002
interface_broad,0,ユウレイ,Yurei,1641,mobility,358,280.006,1.27854,5.0141,0.002
interface_broad,0,ユウレイ,Yurei,1641,boundary,404,294.956,1.3697,7.4,0.002
interface_broad,0,ユウレイ,Yurei,1641,livelihood,183,296.596,0.617,-7.2917,0.002
interface_broad,0,ユウレイ,Yurei,1641,dwelling,455,399.65,1.1385,3.182,0.002
interface_broad,0,ユウレイ,Yurei,1641,death_ritual,1233,264.858,4.65532,70.3474,0.002
